timestamp,workpiece_x,status,cycle_time
1774795031.0202787,-0.423,Moving on Conveyor,1.78
1774795031.0246115,-0.408,Moving on Conveyor,1.78
1774795031.0289433,-0.393,Moving on Conveyor,1.79
1774795031.0332844,-0.378,Moving on Conveyor,1.79
1774795031.0376577,-0.363,Moving on Conveyor,1.8
1774795031.041955,-0.348,Moving on Conveyor,1.8
1774795031.0462902,-0.333,Moving on Conveyor,1.81
1774795031.0506098,-0.318,Moving on Conveyor,1.81
1774795031.0549572,-0.303,Moving on Conveyor,1.82
1774795031.0592775,-0.288,Painting,1.82
1774795031.0635717,-0.286,Painting,1.82
1774795031.067915,-0.284,Painting,1.83
1774795031.0722704,-0.282,Painting,1.83
1774795031.0765972,-0.28,Painting,1.84
1774795031.080904,-0.278,Painting,1.84
1774795031.0852244,-0.276,Painting,1.85
1774795031.0895696,-0.274,Painting,1.85
1774795031.093887,-0.272,Painting,1.85
1774795031.0982091,-0.27,Painting,1.86
1774795031.1025567,-0.268,Painting,1.86
1774795031.1068895,-0.266,Painting,1.87
1774795031.1112282,-0.264,Painting,1.87
1774795031.1155384,-0.262,Painting,1.88
1774795031.1198416,-0.26,Painting,1.88
1774795031.1242077,-0.258,Painting,1.88
1774795031.1284869,-0.256,Painting,1.89
1774795031.13287,-0.254,Painting,1.89
1774795031.1372256,-0.252,Painting,1.9
1774795031.1415734,-0.25,Painting,1.9
1774795031.1458735,-0.248,Painting,1.91
1774795031.1502006,-0.246,Painting,1.91
1774795031.1544855,-0.244,Painting,1.91
1774795031.1588109,-0.242,Painting,1.92
1774795031.1631312,-0.24,Painting,1.92
1774795031.1674445,-0.238,Painting,1.93
1774795031.1718414,-0.236,Painting,1.93
1774795031.1762123,-0.234,Painting,1.94
1774795031.1805732,-0.232,Painting,1.94
1774795031.1849163,-0.23,Painting,1.95
1774795031.189235,-0.228,Painting,1.95
1774795031.193589,-0.226,Painting,1.95
1774795031.1979675,-0.224,Painting,1.96
1774795031.202283,-0.222,Painting,1.96
1774795031.2066112,-0.22,Painting,1.97
1774795031.2109728,-0.218,Painting,1.97
1774795031.2153118,-0.216,Painting,1.98
1774795031.2196567,-0.214,Painting,1.98
1774795031.2239828,-0.212,Painting,1.98
1774795031.2283218,-0.21,Painting,1.99
1774795031.2327287,-0.208,Painting,1.99
1774795031.2371192,-0.206,Painting,2.0
1774795031.2414854,-0.204,Painting,2.0
1774795031.2458692,-0.202,Painting,2.01
1774795031.2503138,-0.2,Painting,2.01
1774795031.2546482,-0.198,Painting,2.01
1774795031.2589889,-0.196,Painting,2.02
1774795031.263361,-0.194,Painting,2.02
1774795031.267724,-0.192,Painting,2.03
1774795031.2720525,-0.19,Painting,2.03
1774795031.2764456,-0.188,Painting,2.04
1774795031.280796,-0.186,Painting,2.04
1774795031.2851653,-0.184,Painting,2.05
1774795031.2895207,-0.182,Painting,2.05
1774795031.29384,-0.18,Painting,2.05
1774795031.2981777,-0.178,Painting,2.06
1774795031.3024976,-0.176,Painting,2.06
1774795031.306869,-0.174,Painting,2.07
1774795031.3112638,-0.172,Painting,2.07
1774795031.3155913,-0.17,Painting,2.08
1774795031.319946,-0.168,Painting,2.08
1774795031.3242855,-0.166,Painting,2.08
1774795031.3286233,-0.164,Painting,2.09
1774795031.3329813,-0.162,Painting,2.09
1774795031.3373,-0.16,Painting,2.1
1774795031.3416255,-0.158,Painting,2.1
1774795031.3459754,-0.156,Painting,2.11
1774795031.350352,-0.154,Painting,2.11
1774795031.3547244,-0.152,Painting,2.11
1774795031.3590705,-0.15,Painting,2.12
1774795031.363448,-0.148,Painting,2.12
1774795031.3678186,-0.146,Painting,2.13
1774795031.3721457,-0.144,Painting,2.13
1774795031.3764956,-0.142,Painting,2.14
1774795031.380861,-0.14,Painting,2.14
1774795031.385205,-0.138,Painting,2.15
1774795031.38956,-0.136,Painting,2.15
1774795031.393901,-0.134,Painting,2.15
1774795031.3982525,-0.132,Painting,2.16
1774795031.4025798,-0.13,Painting,2.16
1774795031.4069068,-0.128,Painting,2.17
1774795031.411236,-0.126,Painting,2.17
1774795031.4155838,-0.124,Painting,2.18
1774795031.4199297,-0.122,Painting,2.18
1774795031.4242651,-0.12,Painting,2.18
1774795031.428633,-0.118,Painting,2.19
1774795031.4377553,-0.116,Painting,2.2
1774795031.4421437,-0.114,Painting,2.2
1774795031.4465005,-0.112,Painting,2.21
1774795031.450867,-0.11,Painting,2.21
1774795031.4552,-0.108,Painting,2.22
1774795031.459549,-0.106,Painting,2.22
1774795031.4638813,-0.104,Painting,2.22
1774795031.4682624,-0.102,Painting,2.23
1774795031.4725811,-0.1,Painting,2.23
1774795031.4769254,-0.098,Painting,2.24
1774795031.4812698,-0.096,Painting,2.24
